Date,Close,High,Low,Open,Volume,MA7,MA21,MA50,MA200,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,RSI,BB_Middle,BB_Upper,BB_Lower,Volume_MA,Volume_Ratio,Momentum,ROC,Volatility,Daily_Return,Price_Range,Price_Change,Target
2011-08-08,10.603404998779297,11.040497455431392,10.597700645579192,10.85797498712262,1143833600,11.463009425571986,11.387388138543992,10.624851703643799,10.189364852905273,11.386613098528722,11.192934832584509,0.19367826594421267,0.33637689995267034,-0.14269863400845767,37.76648998483283,11.425401496887208,12.379144552489313,10.471658441285102,664584900.0,1.7211248705771076,-1.3596134185791016,-11.365136883901272,0.4768715278010531,-0.054628051431882096,0.4427968098522008,-0.25456998834332367,11.227822303771973
2011-08-09,11.227822303771973,11.245834783476953,10.657139330283226,10.846266359068085,1082583600,11.392376354762487,11.41599296388172,10.646826362609863,10.199352555274963,11.36218374548922,11.195519089709506,0.166664655779714,0.3024344511180791,-0.13576979533836508,43.997307552905845,11.455811643600464,12.337434523569454,10.574188763631474,696133620.0,1.555137647280992,-0.8825931549072266,-7.287885026889779,0.4408114399844949,0.058888376428568145,0.5886954531937274,0.3815559447038872,10.91801643371582
2011-08-10,10.91801643371582,11.247036427291915,10.882292879611404,11.141966018810312,878656800,11.25059563773019,11.43020234789167,10.65634874343872,10.207585568428039,11.293850312908697,11.174963337413677,0.1188869754950197,0.26572495599346724,-0.14683798049844754,39.940364152409934,11.464322423934936,12.320073923840294,10.608570924029578,720484520.0,1.2195359866996172,-0.8675813674926758,-7.361369207794567,0.4278757499526792,-0.027592694440138565,0.3647435476805114,-0.22394958509449125,11.218517303466797
2011-08-11,11.218517303466797,11.271052505072829,10.948936110093708,11.123052755370168,741969200,11.185366358075823,11.452617418198358,10.673274059295654,10.217439665794373,11.282260619148405,11.178189557121316,0.1040710620270886,0.23339417720019154,-0.12932311517310294,41.92081434809778,11.488233423233032,12.2833830053624,10.693083841103665,736056300.0,1.0080332170242956,-0.5439643859863281,-4.62457158572307,0.39757479106468324,0.027523394160041903,0.3221163949791208,0.09546454809662919,11.31728458404541
2011-08-12,11.31728458404541,11.39683691042276,11.234428766732027,11.349705449713198,528976000,11.118550981794085,11.480093002319336,10.691820507049561,10.227820620536804,11.287648921440251,11.188492892449027,0.09915602899122433,0.20654654755839813,-0.1073905185671738,40.991672864234026,11.506350469589233,12.26606087961134,10.746640059567126,738281740.0,0.716496117051466,-0.4049692153930664,-3.4547043795662007,0.3798552050110537,0.008803951351761263,0.1624081436907332,-0.032420865667788235,11.510011672973633
2011-08-15,11.510011672973633,11.55684331966869,11.350304222381272,11.396535453072246,460544000,11.144453866141182,11.506524812607537,10.715818614959717,10.239553961753845,11.32185857552231,11.212309098413813,0.10954947710849616,0.18714713346841777,-0.07759765635992161,41.72866314373049,11.520774984359742,12.26857653683128,10.772973431888204,732676280.0,0.6285777396806131,-0.4004697799682617,-3.362330746666378,0.37390077623576934,0.017029446197714293,0.20653909728741837,0.11347621990138634,11.422053337097168
2011-08-16,11.422053337097168,11.508812257933851,11.289364590351914,11.45327497315356,498750000,11.173872947692871,11.516073953537713,10.741299648284912,10.25148696422577,11.337273154226134,11.227845708686655,0.10942744553947925,0.17160319588263007,-0.062175750343150815,44.64204092808098,11.526223611831664,12.269225963941405,10.783221259721923,716656500.0,0.6959401051968411,-0.2530689239501953,-2.167591210539433,0.37150117605487065,-0.007641898060190333,0.219447667581937,-0.031221636056391944,11.420852661132812
2011-08-17,11.420852661132812,11.543334327630076,11.347603507002663,11.476990358818577,442061200,11.290651185171944,11.521205947512673,10.770359115600586,10.262933645248413,11.350131539904085,11.242142519978964,0.107989019925121,0.15888036069112826,-0.050891340766007265,44.932296508979505,11.516526937484741,12.259724659558055,10.773329215411428,691692540.0,0.6391007195191089,-0.3641395568847656,-3.0898582718455088,0.371598861036657,-0.00010511909977306555,0.19573082062741243,-0.05613769768576482,10.988862991333008
2011-08-18,10.988862991333008,11.186997087592053,10.848368837693135,11.132659834163897,851435200,11.256514140537806,11.491400082906088,10.790658760070801,10.27144284248352,11.294551763200843,11.223381073412597,0.07117068978824648,0.14133842651055192,-0.07016773672230545,40.25371251052552,11.484645700454712,12.261906498685118,10.707384902224305,707937580.0,1.202698124882705,-0.3398284912109375,-2.999715295756526,0.3886303991152029,-0.03782464257418727,0.3386282498989175,-0.14379684283088956,10.68805980682373
2011-08-19,10.68805980682373,11.0173811468024,10.687159583696223,10.87238349826864,775888400,11.223663193838936,11.446713038853236,10.805392532348632,10.277931685447692,11.201245308373593,11.183727646257866,0.01751766211572736,0.11657427363158701,-0.09905661151585965,34.226763122234644,11.428703022003173,12.26696427020059,10.590441773805756,720895560.0,1.076284059788078,-0.5280599594116211,-4.7080449426126485,0.41913062409870855,-0.027373458450298482,0.3302215631061767,-0.18432369144490934,10.700366973876953
